ticket_key,email_count_per_ticket,avg_sentiment,sentiment_variance,sentiment_trend,priority_numeric,subject_length,unique_senders,description_length,is_stalled,has_enough_emails,email_volume_per_ticket,priority,status,project.key,issuetype.name,type_Bug,type_Improvement,type_New Feature,type_Sub-task,type_Task,type_Test,type_Wish,proj_HADOOP,proj_HDFS,proj_MAPREDUCE,proj_YARN
HADOOP-18662,4,0.1031,0.8138782259445615,0.23159999999999997,3,6.0,2,135,0,1,4,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18669,2,0.053549999999999986,1.2819138836130919,1.8129,3,7.0,2,101,0,1,2,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-1867,1,0.0,0.0,0.0,3,7.0,1,54,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18671,40,0.42733499999999996,0.4495557325764045,-0.019790000000000085,3,6.75,13,113,0,1,40,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-18679,44,0.4433045454545455,0.4692714977318669,0.14719090909090915,3,6.9772727272727275,11,109,0,1,44,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-18680,3,0.33790000000000003,0.6567230466490422,-0.4371,2,8.0,2,46,0,1,3,Minor,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18682,2,0.78365,0.08930758646386097,-0.12629999999999997,3,3.0,2,56,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18716,4,0.837575,0.20103448087330691,0.17364999999999997,4,11.0,3,49,1,1,4,Critical,Open,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18724,15,0.31276666666666664,0.5359466480199401,0.10908928571428578,4,6.666666666666667,8,43,0,1,15,Critical,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-18768,1,0.9163,0.0,0.0,3,9.0,1,216,1,0,1,Major,Open,HADOOP,Test,0,0,0,0,0,1,0,1,0,0,0
HADOOP-18783,2,0.5074000000000001,0.2859539823118398,-0.4044,3,11.0,2,1,0,1,2,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18843,24,0.62895,0.4273132462664627,-0.0910333333333333,3,7.75,9,7,0,1,24,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-18886,6,0.5429666666666667,0.4369864330464582,-0.46506666666666674,3,5.833333333333333,5,30,0,1,6,Major,Resolved,HADOOP,New Feature,0,0,1,0,0,0,0,1,0,0,0
HADOOP-18921,21,0.6470428571428571,0.4399445562470668,-0.13662818181818182,3,7.904761904761905,8,1,0,1,21,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18924,1,0.25,0.0,0.0,3,12.0,1,1,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18933,2,0.5074000000000001,0.2859539823118398,-0.4044,3,11.0,2,35,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-18995,4,0.80315,0.11404646713803403,0.1019000000000001,3,4.75,4,12,0,1,4,Major,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
